user_id,signup_date,country
1,2023-04-13,Canada
2,2023-06-29,Australia
3,2023-04-03,India
4,2023-01-15,Germany
5,2023-04-17,USA
6,2023-03-13,Canada
7,2023-01-21,UK
8,2023-04-13,India
9,2023-05-02,USA
10,2023-03-16,India
11,2023-03-29,Australia
12,2023-04-27,Germany
13,2023-04-10,UK
14,2023-04-14,India
15,2023-06-01,Canada
16,2023-05-11,Australia
17,2023-05-30,Australia
18,2023-02-22,UK
19,2023-01-02,Australia
20,2023-03-29,Canada
21,2023-06-07,India
22,2023-02-07,UK
23,2023-05-10,Australia
24,2023-01-21,Australia
25,2023-06-10,Canada
26,2023-02-27,Germany
27,2023-01-22,Germany
28,2023-03-30,Australia
29,2023-02-18,India
30,2023-02-28,UK
31,2023-06-19,Australia
32,2023-01-15,USA
33,2023-06-24,UK
34,2023-02-20,Germany
35,2023-04-18,Australia
36,2023-02-24,Canada
37,2023-03-05,USA
38,2023-05-11,Australia
39,2023-02-20,India
40,2023-05-15,USA
41,2023-01-21,Australia
42,2023-03-14,India
43,2023-06-16,USA
44,2023-01-18,India
45,2023-05-12,India
46,2023-03-30,USA
47,2023-03-01,USA
48,2023-01-14,India
49,2023-01-09,Germany
50,2023-03-31,USA
51,2023-02-22,Australia
52,2023-05-10,UK
53,2023-03-25,Canada
54,2023-04-02,India
55,2023-04-21,India
56,2023-06-21,Canada
57,2023-01-08,Germany
58,2023-06-24,Canada
59,2023-02-04,USA
60,2023-03-22,Canada
61,2023-06-13,India
62,2023-02-19,Canada
63,2023-04-14,UK
64,2023-05-12,Australia
65,2023-01-02,USA
66,2023-05-14,Canada
67,2023-02-23,India
68,2023-04-16,Australia
69,2023-01-04,USA
70,2023-02-23,India
71,2023-05-26,Germany
72,2023-02-13,UK
73,2023-06-11,Germany
74,2023-01-14,UK
75,2023-04-05,Canada
76,2023-02-17,USA
77,2023-01-15,Canada
78,2023-02-09,UK
79,2023-03-23,UK
80,2023-04-21,UK
81,2023-02-22,Australia
82,2023-01-24,India
83,2023-06-03,USA
84,2023-05-04,Canada
85,2023-02-10,Canada
86,2023-06-06,Germany
87,2023-01-15,UK
88,2023-02-14,UK
89,2023-03-06,UK
90,2023-03-30,Canada
91,2023-03-12,Germany
92,2023-01-09,India
93,2023-03-29,Australia
94,2023-05-09,USA
95,2023-05-16,India
96,2023-03-04,Canada
97,2023-05-19,Australia
98,2023-03-22,Australia
99,2023-05-16,Australia
100,2023-06-12,UK
101,2023-06-12,USA
102,2023-02-02,Canada
103,2023-05-03,Canada
104,2023-01-05,Australia
105,2023-02-10,Canada
106,2023-01-28,USA
107,2023-05-15,USA
108,2023-03-13,Germany
109,2023-01-12,Germany
110,2023-06-11,India
111,2023-02-02,USA
112,2023-02-17,USA
113,2023-05-31,USA
114,2023-03-03,Germany
115,2023-02-06,Australia
116,2023-04-09,Australia
117,2023-06-21,Canada
118,2023-04-14,Australia
119,2023-02-04,UK
120,2023-04-11,Germany
